ayah	i	form
2:18	3	3c2115701fd8
2:18	4	4efa12758d87
2:18	5	cc4da18608ea
2:19	0	4e47b28234f3
2:19	1	8528dc4620cb
2:19	2	1f6fa6f69d18
2:19	3	3974ea72f1c9
2:19	4	3fb751e365b0
2:19	5	c33e846b4ec0
2:19	6	c55585dd51d8
2:19	7	4d6ca8dc14a8
2:19	8	cd2951e515ae
2:19	9	9e5ed1f38a1a
2:19	10	f04ae4c55ba7
2:19	11	8142b7ff3747
2:19	12	1f6fa6f69d18
2:19	13	3d0b0494f8e3
2:19	14	0f447901280c
2:19	15	0f0bd3b16da3
2:19	16	a2362d746e02
2:19	17	da27ac6fcae9
2:19	18	84d3d11f4dd1
2:20	0	2b99f7ea7d30
2:20	1	c4968bbb9868
2:20	2	081c03a19e9f
2:20	3	5d058167b204
2:20	4	d6ad06f6b525
2:20	5	4275bb0ca458
2:20	6	65fdf4b51d57
2:20	7	8634afdb3321
2:20	8	3fb751e365b0
2:20	9	d09777d5a187
2:20	10	31f64f62f928
2:20	11	1ad6a0e52b19
2:20	12	b1a85850324e
2:20	13	81fe823481dc
2:20	14	951a712a40a1
2:20	15	bdd1703602e8
2:20	16	216abd05ded3
2:20	17	364ec7bb7ee8
2:20	18	aec3a8b68bf4
2:20	19	8615887af64c
2:20	20	bdd1703602e8
2:20	21	86a672517894
2:20	22	b6efd777c60c
2:20	23	cb97b86f20f8
2:20	24	b521c85a453e
2:21	0	49815fd40c50
2:21	1	e74abd7f7e0f
2:21	2	cabca515c624
2:21	3	51a6de60f6b3
2:21	4	f5ed6bc9de4a
2:21	5	21cbcb26150e
2:21	6	6a9741d5e788
2:21	7	1f6fa6f69d18
2:21	8	2c5280913a28
2:21	9	a8fe53239990
2:21	10	1fd1e2b4ccab
2:22	0	f5ed6bc9de4a
2:22	1	b2aa77d8a5e5
2:22	2	6ada4abc64c0
2:22	3	058a4b6b3c2e
2:22	4	315e3948bafc
2:22	5	db9ee9940ca6
2:22	6	127df0ac6fc0
2:22	7	873cb777ce70
2:22	8	1f6fa6f69d18
2:22	9	3974ea72f1c9
2:22	10	07642145d277
2:22	11	936907a95508
2:22	12	a2808a968882
2:22	13	1f6fa6f69d18
2:22	14	4a449e2dbcd6
2:22	15	ac4b7747e035
2:22	16	6ada4abc64c0
2:22	17	8a259f5c347b
2:22	18	95d13ec7a41e
2:22	19	153a81e1f94a
2:22	20	8d5a708a819e
2:22	21	358ee6ac38f7
2:22	22	45e4791a2679
2:23	0	225a4ff9222a
2:23	1	e4d7fe9304cd
2:23	2	f04ae4c55ba7
2:23	3	a3ee267a52cb
2:23	4	8ece772093fa
2:23	5	15cad8a42b56
2:23	6	86a672517894
2:23	7	de96d9b18658
2:23	8	15fb7796f4ca
2:23	9	3dd630c7f22a
2:23	10	1f6fa6f69d18
2:23	11	7525e8337f91
2:23	12	7ae30cc857b6
2:23	13	8b22bdda1926
2:23	14	1f6fa6f69d18
2:23	15	d9530dcac26b
2:23	16	bdd1703602e8
2:23	17	40621bb136c7
